Date,High,Low,Open,Close,Volume,Adj Close
2015-01-02,50005.0,48345.0,50005.0,48512.0,2882100.0,48512.0
2015-01-05,48512.0,47264.0,48512.0,47517.0,3866100.0,47517.0
2015-01-06,48061.0,47338.0,47517.0,48001.0,4559300.0,48001.0
2015-01-07,49882.0,48006.0,48006.0,49463.0,4408800.0,49463.0
2015-01-08,50261.0,49017.0,49463.0,49943.0,3621900.0,49943.0
2015-01-09,49955.0,48501.0,49955.0,48840.0,2999200.0,48840.0
2015-01-12,48840.0,47956.0,48840.0,48140.0,3246100.0,48140.0
2015-01-13,48939.0,48042.0,48144.0,48042.0,3881600.0,48042.0
2015-01-14,48281.0,47372.0,48038.0,47646.0,3697200.0,47646.0
2015-01-15,48853.0,47648.0,47648.0,48026.0,4463600.0,48026.0
2015-01-16,49264.0,48028.0,48028.0,49017.0,3344900.0,49017.0
2015-01-19,49009.0,47503.0,49009.0,47758.0,2096000.0,47758.0
2015-01-20,48687.0,47619.0,47759.0,47877.0,2899100.0,47877.0
2015-01-21,49329.0,47888.0,47888.0,49224.0,3561400.0,49224.0
2015-01-22,50281.0,49227.0,49227.0,49443.0,4952300.0,49443.0
2015-01-23,49523.0,48496.0,49432.0,48775.0,3081600.0,48775.0
2015-01-26,48712.0,48004.0,48712.0,48577.0,2774200.0,48577.0
2015-01-27,48864.0,47352.0,48577.0,48591.0,3890900.0,48591.0
2015-01-28,48589.0,47550.0,48589.0,47695.0,4241400.0,47695.0
2015-01-29,47894.0,47007.0,47696.0,47762.0,4405500.0,47762.0
2015-01-30,47759.0,46484.0,47759.0,46908.0,4846600.0,46908.0
2015-02-02,47684.0,46760.0,46933.0,47651.0,3247800.0,47651.0
2015-02-03,48993.0,47664.0,47664.0,48964.0,4819800.0,48964.0
2015-02-04,49718.0,48214.0,48965.0,49301.0,4811300.0,49301.0
2015-02-05,49816.0,49020.0,49299.0,49234.0,4004000.0,49234.0
2015-02-06,49231.0,48209.0,49231.0,48792.0,4591400.0,48792.0
2015-02-09,49522.0,48416.0,48792.0,49383.0,3658900.0,49383.0
2015-02-10,49799.0,48510.0,49359.0,48510.0,3796000.0,48510.0
2015-02-11,48762.0,47841.0,48508.0,48240.0,4307600.0,48240.0
2015-02-12,49690.0,48240.0,48240.0,49533.0,3828500.0,49533.0
2015-02-13,50726.0,49476.0,49546.0,50636.0,3888100.0,50636.0
2015-02-18,51868.0,50639.0,50639.0,51280.0,2940700.0,51280.0
2015-02-19,51638.0,50870.0,51281.0,51294.0,2485100.0,51294.0
2015-02-20,51450.0,50711.0,51301.0,51238.0,2208700.0,51238.0
2015-02-23,51690.0,50861.0,51238.0,51281.0,2824500.0,51281.0
2015-02-24,51956.0,51049.0,51288.0,51874.0,3004200.0,51874.0
