['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'GGBR4.SA', 'GOLL4.SA', 'BBDC4.SA', 'HYPE3.SA', 'VALE3.SA', 'IGTA3.SA']
['SULA11.SA', 'BTOW3.SA', 'GOLL4.SA', 'GGBR4.SA', 'COGN3.SA', 'VALE3.SA', 'BBDC4.SA', 'HYPE3.SA', 'FLRY3.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'GOLL4.SA', 'BBDC4.SA', 'HYPE3.SA', 'GGBR4.SA', 'LREN3.SA', 'MRVE3.SA']
['SULA11.SA', 'BTOW3.SA', 'GOLL4.SA', 'GGBR4.SA', 'HYPE3.SA', 'VALE3.SA', 'FLRY3.SA', 'UGPA3.SA', 'BBDC4.SA']
['SULA11.SA', 'BTOW3.SA', 'HYPE3.SA', 'GGBR4.SA', 'GOLL4.SA', 'BBDC4.SA', 'FLRY3.SA', 'ITUB4.SA', 'MRVE3.SA']
['SULA11.SA', 'HYPE3.SA', 'GOLL4.SA', 'BTOW3.SA', 'GGBR4.SA', 'BBDC4.SA', 'ITUB4.SA', 'FLRY3.SA', 'SANB11.SA']
['SULA11.SA', 'HYPE3.SA', 'BTOW3.SA', 'GOLL4.SA', 'GGBR4.SA', 'COGN3.SA', 'MRVE3.SA', 'ITUB4.SA', 'BBDC4.SA']
['SULA11.SA', 'GOLL4.SA', 'BTOW3.SA', 'HYPE3.SA', 'GGBR4.SA', 'BBDC4.SA', 'ITUB4.SA', 'VALE3.SA', 'COGN3.SA']
['SULA11.SA', 'GOLL4.SA', 'GGBR4.SA', 'BBDC4.SA', 'BTOW3.SA', 'HYPE3.SA', 'ABEV3.SA', 'SANB11.SA', 'ITUB4.SA']
['SULA11.SA', 'BBDC4.SA', 'GOLL4.SA', 'GGBR4.SA', 'ABEV3.SA', 'BBDC3.SA', 'SANB11.SA', 'ITUB4.SA', 'HYPE3.SA']
['SULA11.SA', 'ELET3.SA', 'COGN3.SA', 'GGBR4.SA', 'BTOW3.SA', 'BBDC4.SA', 'BRFS3.SA', 'CCRO3.SA', 'MULT3.SA']
['SULA11.SA', 'GGBR4.SA', 'HYPE3.SA', 'BTOW3.SA', 'BBDC4.SA', 'ABEV3.SA', 'CVCB3.SA', 'CCRO3.SA', 'GOLL4.SA']
['SULA11.SA', 'GGBR4.SA', 'GOLL4.SA', 'BTOW3.SA', 'HYPE3.SA', 'IGTA3.SA', 'CCRO3.SA', 'CVCB3.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'GOLL4.SA', 'CYRE3.SA', 'CVCB3.SA', 'COGN3.SA', 'IGTA3.SA', 'CSNA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'COGN3.SA', 'CYRE3.SA', 'LREN3.SA', 'IGTA3.SA', 'ABEV3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'CVCB3.SA', 'COGN3.SA', 'GOLL4.SA', 'LREN3.SA', 'ABEV3.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'CVCB3.SA', 'GGBR4.SA', 'LREN3.SA', 'VALE3.SA', 'CYRE3.SA', 'IGTA3.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'VALE3.SA', 'IGTA3.SA', 'CYRE3.SA', 'GGBR4.SA', 'LREN3.SA', 'BBDC4.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'BBDC4.SA', 'ITUB4.SA', 'HYPE3.SA', 'IGTA3.SA', 'MULT3.SA', 'LREN3.SA']
['SULA11.SA', 'BBDC4.SA', 'BTOW3.SA', 'ITUB4.SA', 'VALE3.SA', 'IGTA3.SA', 'GGBR4.SA', 'COGN3.SA', 'RADL3.SA']
['SULA11.SA', 'BTOW3.SA', 'BBDC4.SA', 'ITUB4.SA', 'LAME4.SA', 'BBDC3.SA', 'MRVE3.SA', 'LREN3.SA', 'COGN3.SA']
['BTOW3.SA', 'SULA11.SA', 'LAME4.SA', 'BBDC4.SA', 'GGBR4.SA', 'CYRE3.SA', 'GOLL4.SA', 'ITUB4.SA', 'BBDC3.SA']
['BTOW3.SA', 'SULA11.SA', 'LAME4.SA', 'GGBR4.SA', 'CYRE3.SA', 'BBDC4.SA', 'GOLL4.SA', 'ITUB4.SA', 'VALE3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'BBDC4.SA', 'GGBR4.SA', 'HYPE3.SA', 'LAME4.SA', 'CYRE3.SA', 'UGPA3.SA']
['BTOW3.SA', 'GOLL4.SA', 'SULA11.SA', 'BBDC4.SA', 'GGBR4.SA', 'COGN3.SA', 'CYRE3.SA', 'IGTA3.SA', 'UGPA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'GGBR4.SA', 'VALE3.SA', 'BBDC4.SA', 'UGPA3.SA', 'HYPE3.SA', 'IGTA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'COGN3.SA', 'GGBR4.SA', 'UGPA3.SA', 'VALE3.SA', 'HYPE3.SA', 'IGTA3.SA']
['BTOW3.SA', 'GOLL4.SA', 'SULA11.SA', 'COGN3.SA', 'IGTA3.SA', 'CVCB3.SA', 'MULT3.SA', 'RADL3.SA', 'UGPA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'COGN3.SA', 'BBDC4.SA', 'VALE3.SA', 'ITUB4.SA', 'CVCB3.SA', 'IGTA3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'COGN3.SA', 'BBDC4.SA', 'CVCB3.SA', 'ITUB4.SA', 'VALE3.SA', 'CYRE3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'CVCB3.SA', 'VALE3.SA', 'GGBR4.SA', 'BBDC4.SA', 'KLBN11.SA', 'HYPE3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'GOLL4.SA', 'VALE3.SA', 'COGN3.SA', 'CVCB3.SA', 'BBDC4.SA', 'IGTA3.SA']
['BTOW3.SA', 'GOLL4.SA', 'SULA11.SA', 'GGBR4.SA', 'CVCB3.SA', 'COGN3.SA', 'IGTA3.SA', 'LREN3.SA', 'ELET3.SA']
['BTOW3.SA', 'GOLL4.SA', 'GGBR4.SA', 'SULA11.SA', 'CVCB3.SA', 'COGN3.SA', 'IGTA3.SA', 'ELET3.SA', 'LREN3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'GOLL4.SA', 'COGN3.SA', 'VALE3.SA', 'HYPE3.SA', 'BBDC4.SA', 'CSNA3.SA']
['BTOW3.SA', 'GGBR4.SA', 'SULA11.SA', 'GOLL4.SA', 'BBDC4.SA', 'VALE3.SA', 'LREN3.SA', 'CSNA3.SA', 'HYPE3.SA']
['BTOW3.SA', 'GGBR4.SA', 'PETR4.SA', 'SULA11.SA', 'GOLL4.SA', 'BBDC4.SA', 'MULT3.SA', 'IGTA3.SA', 'ELET3.SA']
['BTOW3.SA', 'SULA11.SA', 'GGBR4.SA', 'GOLL4.SA', 'PETR4.SA', 'COGN3.SA', 'BBDC4.SA', 'VALE3.SA', 'LREN3.SA']
['BTOW3.SA', 'SULA11.SA', 'COGN3.SA', 'GOLL4.SA', 'GGBR4.SA', 'BBDC4.SA', 'CVCB3.SA', 'LREN3.SA', 'CYRE3.SA']
['BTOW3.SA', 'SULA11.SA', 'GOLL4.SA', 'COGN3.SA', 'BBDC4.SA', 'GGBR4.SA', 'CVCB3.SA', 'LREN3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'GGBR4.SA', 'BBDC4.SA', 'VALE3.SA', 'HYPE3.SA', 'ITUB4.SA', 'FLRY3.SA']
['SULA11.SA', 'BTOW3.SA', 'VALE3.SA', 'GGBR4.SA', 'BBDC4.SA', 'COGN3.SA', 'CIEL3.SA', 'GOLL4.SA', 'ITUB4.SA']
['SULA11.SA', 'GGBR4.SA', 'BTOW3.SA', 'COGN3.SA', 'VALE3.SA', 'HYPE3.SA', 'BBDC4.SA', 'SMLS3.SA', 'ITUB4.SA']
['SULA11.SA', 'BTOW3.SA', 'VALE3.SA', 'GGBR4.SA', 'COGN3.SA', 'GOLL4.SA', 'BBDC4.SA', 'HYPE3.SA', 'UGPA3.SA']
['BTOW3.SA', 'SULA11.SA', 'VALE3.SA', 'GGBR4.SA', 'COGN3.SA', 'GOLL4.SA', 'UGPA3.SA', 'BBDC4.SA', 'SMLS3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'FLRY3.SA', 'COGN3.SA', 'UGPA3.SA', 'GOLL4.SA', 'BBDC4.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'COGN3.SA', 'FLRY3.SA', 'BBDC4.SA', 'GOLL4.SA', 'UGPA3.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'FLRY3.SA', 'COGN3.SA', 'GOLL4.SA', 'BBDC4.SA', 'SANB11.SA']
['SULA11.SA', 'BTOW3.SA', 'GGBR4.SA', 'VALE3.SA', 'FLRY3.SA', 'COGN3.SA', 'GOLL4.SA', 'BBDC4.SA', 'CYRE3.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'GGBR4.SA', 'CYRE3.SA', 'VALE3.SA', 'FLRY3.SA', 'BBDC4.SA', 'SANB11.SA']
['SULA11.SA', 'BTOW3.SA', 'COGN3.SA', 'GGBR4.SA', 'VALE3.SA', 'BBDC4.SA', 'CYRE3.SA', 'FLRY3.SA', 'SANB11.SA']
['BTOW3.SA', 'SULA11.SA', 'SMLS3.SA', 'COGN3.SA', 'BBDC4.SA', 'VALE3.SA', 'GGBR4.SA', 'ITUB4.SA', 'FLRY3.SA']
['BTOW3.SA', 'SULA11.SA', 'VALE3.SA', 'SMLS3.SA', 'COGN3.SA', 'TOTS3.SA', 'BBDC4.SA', 'GGBR4.SA', 'ITUB4.SA']
['BTOW3.SA', 'BRKM5.SA', 'VALE3.SA', 'GGBR4.SA', 'BBDC4.SA', 'SULA11.SA', 'SMLS3.SA', 'ITUB4.SA', 'LREN3.SA']
['BTOW3.SA', 'SULA11.SA', 'BRKM5.SA', 'CVCB3.SA', 'GGBR4.SA', 'BBDC4.SA', 'VALE3.SA', 'ITUB4.SA', 'FLRY3.SA']
['BTOW3.SA', 'CVCB3.SA', 'BRKM5.SA', 'SULA11.SA', 'VALE3.SA', 'GGBR4.SA', 'BBDC4.SA', 'SBSP3.SA', 'ELET3.SA']
['BTOW3.SA', 'SULA11.SA', 'CVCB3.SA', 'GOLL4.SA', 'VALE3.SA', 'BBDC4.SA', 'BRKM5.SA', 'GGBR4.SA', 'SMLS3.SA']
